"Source URL","Destination URL","Type","Category"
"/linkedin-lead-gen-strategies","/blog","Exact","Legacy Blog Articles"
"/make-social-media-roi-reality","/blog","Exact","Legacy Blog Articles"
"/structuring-website-seo","/blog","Exact","Legacy Blog Articles"
"/taking-the-plunge-seo-for-the-pool-spa-industry","/blog","Exact","Legacy Blog Articles"
"/the-importance-of-local-seo","/blog","Exact","Legacy Blog Articles"
"/the-top-5-ways-to-track-the-roi-of-social-media-marketing","/blog","Exact","Legacy Blog Articles"
"/web-design-trends-2020-dallas-nashville","/blog","Exact","Legacy Blog Articles"
"/what-is-schema-markup-and-why-is-it-important-for-local-seo","/blog","Exact","Legacy Blog Articles"
"/what-is-voice-search-optimization","/blog","Exact","Legacy Blog Articles"
"/why-blogging-is-important-for-small-business-marketing","/blog","Exact","Legacy Blog Articles"
"/why-facebook-live-is-a-game-changer","/blog","Exact","Legacy Blog Articles"
"/why-linkedin-is-really-good-for-business","/blog","Exact","Legacy Blog Articles"
"/why-local-seo-is-critical-for-lawyers","/blog","Exact","Legacy Blog Articles"
"/why-reviews-matter-for-local-seo","/blog","Exact","Legacy Blog Articles"
"/why-your-business-should-be-on-facebook","/blog","Exact","Legacy Blog Articles"
"/why-your-business-should-invest-in-mobile-marketing","/blog","Exact","Legacy Blog Articles"
"/why-your-local-business-should-embrace-digital-marketing","/blog","Exact","Legacy Blog Articles"
"/five-ways-you-can-use-instagram-stories-for-marketing","/blog","Exact","Legacy Blog Articles"
"/four-free-and-simple-tips-to-improve-your-local-seo","/blog","Exact","Legacy Blog Articles"
"/get-most-facebook-advertising-seasonal-sales","/blog","Exact","Legacy Blog Articles"
"/how-can-digital-marketing-help-my-business","/blog","Exact","Legacy Blog Articles"
"/how-do-you-find-the-right-seo-company-for-your-business","/blog","Exact","Legacy Blog Articles"
"/how-facebook-business-page-can-help-your-business","/blog","Exact","Legacy Blog Articles"
"/tag/*","/","Pattern","WordPress Tags"
"/category/*","/blog","Pattern","WordPress Categories"
"/portfolio/*","/case-studies","Pattern","Portfolio Pages"
"/author/*","/about","Pattern","Author Pages"
"/*sitemap*.xml","/","Pattern","Sitemap Files"
"/*sitemap*.html","/","Pattern","Sitemap Files"
"/*sitemap*.xsl","/","Pattern","Sitemap Files"
"/dialedin_wp/*","/","Pattern","Legacy WordPress"
"/wp-includes/*","/","Pattern","Legacy WordPress"
"/wp-content/*","/","Pattern","Legacy WordPress"
"/white-label-inbound-marketing-services/local-seo/*","/white-label-local-seo","Pattern","Nested Services"
"/white-label-inbound-marketing-services/google-maps/*","/white-label-gbp-seo","Pattern","Nested Services"
"/white-label-inbound-marketing-services/paid-media/*","/white-label-paid-media","Pattern","Nested Services"
"/white-label-inbound-marketing-services/email-marketing/*","/white-label-email-marketing","Pattern","Nested Services"
"/white-label-inbound-marketing-services/authority-building/*","/white-label-local-authority-building","Pattern","Nested Services"
"/white-label-inbound-marketing-services/reporting/*","/white-label-reporting","Pattern","Nested Services"
"/white-label-inbound-marketing-services/content-marketing/*","/white-label-content-marketing","Pattern","Nested Services"
"/liquid-*-sitemap.xml","/","Pattern","Liquid Theme Cleanup"
"/locations.kml","/","Pattern","KML Files"
"/main-sitemap.xsl","/","Pattern","Sitemap Files"
"/nashville-*/www.*","/","Pattern","Corrupted Links"
"/portfolio/*/www.*","/case-studies","Pattern","Corrupted Links"
"/nashville-*-seo*","/white-label-local-seo","Pattern","Nashville SEO"
"/nashville-*-ppc*","/white-label-paid-media","Pattern","Nashville PPC"
"/nashville-*-marketing*","/","Pattern","Nashville Marketing"
"/dallas-*-seo*","/white-label-local-seo","Pattern","Dallas SEO"
"/dallas-*-ppc*","/white-label-paid-media","Pattern","Dallas PPC"
"/dallas-*-marketing*","/","Pattern","Dallas Marketing"
"/[city]-digital-marketing","/","Pattern","City Digital Marketing"
"/[city]-seo","/white-label-local-seo","Pattern","City SEO"
"/[city]-ppc","/white-label-paid-media","Pattern","City PPC"
